Time spent on Internet,Daily Internet Usage,Country,City,Area Income,Male/Female,Age of people who use website,Timestamp,Ad Topic Line,Clicked on Ad,,,
68.95,256.09,Tunisia,Wrightburgh,61833.9,0,35,2016-03-27 0:53,Cloned 5thgeneration orchestration,0,,,
80.23,193.77,Nauru,West Jodi,68441.85,1,31,2016-04-04 1:39,Monitored national standardization,0,,,
69.47,236.5,San Marino,Davidton,59785.94,0,26,2016-03-13 20:35,Organic bottom-line service-desk,0,,,
74.15,245.89,Italy,West Terrifurt,54806.18,1,29,2016-01-10 2:31,Triple-buffered reciprocal time-frame,0,,,
68.37,225.58,Iceland,South Manuel,73889.99,0,35,2016-06-03 3:36,Robust logistical utilization,0,,,
59.99,226.74,Norway,Jamieberg,59761.56,1,23,2016-05-19 14:30,Sharable client-driven software,0,,,
88.91,208.36,Myanmar,Brandonstad,53852.85,0,33,2016-01-28 20:59,Enhanced dedicated support,0,,,
66,131.76,Australia,Port Jefferybury,24593.33,1,48,2016-03-07 1:40,Reactive local challenge,1,,,
74.53,221.51,Grenada,West Colin,68862,1,30,2016-04-18 9:33,Configurable coherent function,0,,,
69.88,183.82,Ghana,Ramirezton,55642.32,1,20,2016-07-11 1:42,Mandatory homogeneous architecture,0,,,
47.64,122.02,Qatar,West Brandonton,45632.51,0,49,2016-03-16 20:19,Centralized neutral neural-net,1,,,
83.07,230.87,Burundi,East Theresashire,62491.01,1,37,2016-05-08 8:10,Team-oriented grid-enabled Local Area Network,0,,,
69.57,113.12,Egypt,West Katiefurt,51636.92,1,48,2016-06-03 1:14,Centralized content-based focus group,1,,,
79.52,214.23,Bosnia and Herzegovina,North Tara,51739.63,0,24,2016-04-20 21:49,Synergistic fresh-thinking array,0,,,
42.95,143.56,Barbados,West William,30976,0,33,2016-03-24 9:31,Grass-roots coherent extranet,1,,,
63.45,140.64,Spain,New Travistown,52182.23,1,23,2016-03-09 3:41,Persistent demand-driven interface,1,,,
55.39,129.41,Palestinian Territory,West Dylanberg,23936.86,0,37,2016-01-30 19:20,Customizable multi-tasking website,1,,,
82.03,187.53,Afghanistan,Pruittmouth,71511.08,0,41,2016-05-02 7:00,Intuitive dynamic attitude,0,,,
